"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"307",1990,"PA","Total Electric Power Industry","Coal",106677155
"308",1990,"PA","Total Electric Power Industry","Hydro",2869192
"309",1990,"PA","Total Electric Power Industry","Natural Gas",2833882
"310",1990,"PA","Total Electric Power Industry","Nuclear",57787051
"314",1990,"PA","Total Electric Power Industry","Petroleum",4654522
"316",1990,"PA","Total Electric Power Industry","Wood",538313
"317",1990,"RI","Total Electric Power Industry","Total",1107316
"318",1990,"RI","Total Electric Power Industry","Coal",0
"319",1990,"RI","Total Electric Power Industry","Hydro",9946
"320",1990,"RI","Total Electric Power Industry","Natural Gas",876943
"322",1990,"RI","Total Electric Power Industry","Petroleum",185671
"323",1990,"SC","Total Electric Power Industry","Total",71363174
"324",1990,"SC","Total Electric Power Industry","Coal",23411867
"325",1990,"SC","Total Electric Power Industry","Hydro",3298066
"326",1990,"SC","Total Electric Power Industry","Natural Gas",787535
"327",1990,"SC","Total Electric Power Industry","Nuclear",42880669
"329",1990,"SC","Total Electric Power Industry","Petroleum",172575
"331",1990,"SC","Total Electric Power Industry","Wood",1269290
"332",1990,"SD","Total Electric Power Industry","Total",6427473
"333",1990,"SD","Total Electric Power Industry","Coal",2472514
"334",1990,"SD","Total Electric Power Industry","Hydro",3934402
"335",1990,"SD","Total Electric Power Industry","Natural Gas",12408
"336",1990,"SD","Total Electric Power Industry","Petroleum",8149
"337",1990,"TN","Total Electric Power Industry","Total",76187609
"338",1990,"TN","Total Electric Power Industry","Coal",51825606
"339",1990,"TN","Total Electric Power Industry","Hydro",10015363
"340",1990,"TN","Total Electric Power Industry","Natural Gas",224146
"341",1990,"TN","Total Electric Power Industry","Nuclear",14002591
"345",1990,"TN","Total Electric Power Industry","Petroleum",137067
"347",1990,"TN","Total Electric Power Industry","Wood",366858
"348",1990,"TX","Total Electric Power Industry","Total",281559635
"349",1990,"TX","Total Electric Power Industry","Coal",120921396
"350",1990,"TX","Total Electric Power Industry","Hydro",1793625
"351",1990,"TX","Total Electric Power Industry","Natural Gas",136234325
"352",1990,"TX","Total Electric Power Industry","Nuclear",15859258
"356",1990,"TX","Total Electric Power Industry","Petroleum",1827803
"357",1990,"TX","Total Electric Power Industry","Solar",385
"358",1990,"TX","Total Electric Power Industry","Wood",1103471
"359",1990,"US-TOTAL","Total Electric Power Industry","Total",3037827337
"360",1990,"US-TOTAL","Total Electric Power Industry","Coal",1594011479
"361",1990,"US-TOTAL","Total Electric Power Industry","Geothermal",15434271
"362",1990,"US-TOTAL","Total Electric Power Industry","Hydro",292865846
"363",1990,"US-TOTAL","Total Electric Power Industry","Natural Gas",372765154
"364",1990,"US-TOTAL","Total Electric Power Industry","Nuclear",576861678
"368",1990,"US-TOTAL","Total Electric Power Industry","Petroleum",126460202
"370",1990,"US-TOTAL","Total Electric Power Industry","Solar",367087
"371",1990,"US-TOTAL","Total Electric Power Industry","Wind",2788600
"372",1990,"US-TOTAL","Total Electric Power Industry","Wood",32521889
"373",1990,"UT","Total Electric Power Industry","Total",32563539
"374",1990,"UT","Total Electric Power Industry","Coal",31522926
"375",1990,"UT","Total Electric Power Industry","Geothermal",151825
"376",1990,"UT","Total Electric Power Industry","Hydro",508443
"377",1990,"UT","Total Electric Power Industry","Natural Gas",146488
"379",1990,"UT","Total Electric Power Industry","Petroleum",51852
"381",1990,"VA","Total Electric Power Industry","Total",52564458
"382",1990,"VA","Total Electric Power Industry","Coal",23899902
"383",1990,"VA","Total Electric Power Industry","Hydro",1309499
"384",1990,"VA","Total Electric Power Industry","Natural Gas",1134809
"385",1990,"VA","Total Electric Power Industry","Nuclear",23820152
"387",1990,"VA","Total Electric Power Industry","Petroleum",1438264
"389",1990,"VA","Total Electric Power Industry","Solar",34
"390",1990,"VA","Total Electric Power Industry","Wood",1174673
"391",1990,"VT","Total Electric Power Industry","Total",5164108
"392",1990,"VT","Total Electric Power Industry","Hydro",1365031
"393",1990,"VT","Total Electric Power Industry","Natural Gas",65281
"394",1990,"VT","Total Electric Power Industry","Nuclear",3616268
"395",1990,"VT","Total Electric Power Industry","Petroleum",2543
"396",1990,"VT","Total Electric Power Industry","Wind",0
"397",1990,"VT","Total Electric Power Industry","Wood",114985
"398",1990,"WA","Total Electric Power Industry","Total",102071533
"399",1990,"WA","Total Electric Power Industry","Coal",7390279
"400",1990,"WA","Total Electric Power Industry","Hydro",87466708
"401",1990,"WA","Total Electric Power Industry","Natural Gas",288058
"402",1990,"WA","Total Electric Power Industry","Nuclear",5742027
"406",1990,"WA","Total Electric Power Industry","Petroleum",42981
"408",1990,"WA","Total Electric Power Industry","Wood",1122771
"409",1990,"WI","Total Electric Power Industry","Total",47768857
"410",1990,"WI","Total Electric Power Industry","Coal",33168941
"411",1990,"WI","Total Electric Power Industry","Hydro",2014412
"412",1990,"WI","Total Electric Power Industry","Natural Gas",347204
"413",1990,"WI","Total Electric Power Industry","Nuclear",11225913
"415",1990,"WI","Total Electric Power Industry","Petroleum",179457
"416",1990,"WI","Total Electric Power Industry","Wind",44
"417",1990,"WI","Total Electric Power Industry","Wood",683116
"418",1990,"WV","Total Electric Power Industry","Total",79539544
"419",1990,"WV","Total Electric Power Industry","Coal",77643366
"420",1990,"WV","Total Electric Power Industry","Hydro",1295051
"421",1990,"WV","Total Electric Power Industry","Natural Gas",90063
"424",1990,"WV","Total Electric Power Industry","Petroleum",325675
"425",1990,"WY","Total Electric Power Industry","Total",39974965
"426",1990,"WY","Total Electric Power Industry","Coal",38908467
"427",1990,"WY","Total Electric Power Industry","Hydro",644613
"428",1990,"WY","Total Electric Power Industry","Natural Gas",268202
"431",1990,"WY","Total Electric Power Industry","Petroleum",49205
"432",1990,"WY","Total Electric Power Industry","Wood",50440
"433",1991,"AK","Total Electric Power Industry","Total",5389828
"434",1991,"AK","Total Electric Power Industry","Coal",520514
"435",1991,"AK","Total Electric Power Industry","Hydro",896113
"436",1991,"AK","Total Electric Power Industry","Natural Gas",3319395
"437",1991,"AK","Total Electric Power Industry","Petroleum",513425
"438",1991,"AK","Total Electric Power Industry","Wind",0
"439",1991,"AK","Total Electric Power Industry","Wood",140381
"440",1991,"AL","Total Electric Power Industry","Total",88786612
"441",1991,"AL","Total Electric Power Industry","Coal",58222842
